date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:49	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6187ad5b-de6f449e9d21e832;gz%22	https://behzodesonov.uz/robots.txt		(from )
21:46:49	9811/9811	---M-Z	200	added ('OK')	text/html	etag:%222653-62986b29-ecce6732a9c9ceca;gz%22	https://behzodesonov.uz/	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/index.html	(from )
21:46:50	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2235b5-O1t5BPT0vPVZWcLs71CCG9kRACE%22	https://cdn.jsdelivr.net/npm/glightbox/dist/css/glightbox.min.css	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/cdn.jsdelivr.net/npm/glightbox/dist/css/glightbox.min.css	(from https://behzodesonov.uz/)
21:46:50	580/580	---M-Z	200	added ('OK')	image/svg+xml	etag:%22244-62986b2a-ff65a2776f5595c;gz%22	https://behzodesonov.uz/images/shortcut-icon.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/shortcut-icon.svg	(from https://behzodesonov.uz/)
21:46:50	78/78	---M--	200	added ('OK')	text/css	etag:%224e-62986b29-b62dd5ac7dc5dabc;;;%22	https://behzodesonov.uz/css/tailwind.css	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/css/tailwind.css	(from https://behzodesonov.uz/)
21:46:51	10011/10011	---M-Z	200	added ('OK')	text/css	etag:%22271b-62986b29-7a662b1c64a7aff1;gz%22	https://behzodesonov.uz/public/build/main.css	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/public/build/main.css	(from https://behzodesonov.uz/)
21:46:51	2603/2603	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a2b-62986b2a-cdc06aa1db059c0d;gz%22	https://behzodesonov.uz/images/mountain-logo-white.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/mountain-logo-white.svg	(from https://behzodesonov.uz/)
21:46:51	909/909	---M-Z	200	added ('OK')	image/svg+xml	etag:%2238d-62986b2a-a4add645ae544afe;gz%22	https://behzodesonov.uz/images/social/001-telegram-white.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/001-telegram-white.svg	(from https://behzodesonov.uz/)
21:46:52	909/909	---M-Z	200	added ('OK')	image/svg+xml	etag:%2238d-62986b2a-213c17922fbc7571;gz%22	https://behzodesonov.uz/images/social/001-telegram.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/001-telegram.svg	(from https://behzodesonov.uz/)
21:46:52	949/949	---M-Z	200	added ('OK')	image/svg+xml	etag:%223b5-62986b2a-2f2ff06cee5c4d57;gz%22	https://behzodesonov.uz/images/social/002-facebook-white.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/002-facebook-white.svg	(from https://behzodesonov.uz/)
21:46:52	949/949	---M-Z	200	added ('OK')	image/svg+xml	etag:%223b5-62986b2a-cfea02da1fd12ef7;gz%22	https://behzodesonov.uz/images/social/002-facebook.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/002-facebook.svg	(from https://behzodesonov.uz/)
21:46:53	1545/1545	---M-Z	200	added ('OK')	image/svg+xml	etag:%22609-62986b2a-300052cfa7f51d4b;gz%22	https://behzodesonov.uz/images/social/003-instagram-white.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/003-instagram-white.svg	(from https://behzodesonov.uz/)
21:46:53	1545/1545	---M-Z	200	added ('OK')	image/svg+xml	etag:%22609-62986b2a-58ff33068602b845;gz%22	https://behzodesonov.uz/images/social/003-instagram.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/003-instagram.svg	(from https://behzodesonov.uz/)
21:46:53	963827/963827	---M--	200	added ('OK')	image/png	etag:%22eb4f3-62986b2a-401865332933c391;;;%22	https://behzodesonov.uz/images/hero.png	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/hero.png	(from https://behzodesonov.uz/)
21:46:53	1043/1043	---M-Z	200	added ('OK')	image/svg+xml	etag:%22413-62986b2a-8f43b1bf4b0f3857;gz%22	https://behzodesonov.uz/images/social/004-youtube-white.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/004-youtube-white.svg	(from https://behzodesonov.uz/)
21:46:54	1043/1043	---M-Z	200	added ('OK')	image/svg+xml	etag:%22413-62986b2a-c9ad8d28a08acb36;gz%22	https://behzodesonov.uz/images/social/004-youtube.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/social/004-youtube.svg	(from https://behzodesonov.uz/)
21:46:54	512/512	---M-Z	200	added ('OK')	image/svg+xml	etag:%22200-62986b2a-112b2c96048f38e4;gz%22	https://behzodesonov.uz/images/icons/play-circle-hover.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/icons/play-circle-hover.svg	(from https://behzodesonov.uz/)
21:46:54	520/520	---M-Z	200	added ('OK')	image/svg+xml	etag:%22208-62986b2a-781c98b308fbb303;gz%22	https://behzodesonov.uz/images/icons/play-circle.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/icons/play-circle.svg	(from https://behzodesonov.uz/)
21:46:54	525/525	---M-Z	200	added ('OK')	image/svg+xml	etag:%2220d-62986b2a-674ccad89ffa0f87;gz%22	https://behzodesonov.uz/images/icons/feather-play-circle-hover.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/icons/feather-play-circle-hover.svg	(from https://behzodesonov.uz/)
21:46:55	519/519	---M-Z	200	added ('OK')	image/svg+xml	etag:%22207-62986b2a-273d761578804054;gz%22	https://behzodesonov.uz/images/icons/feather-play-circle.svg	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/images/icons/feather-play-circle.svg	(from https://behzodesonov.uz/)
21:46:55	56280/56280	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dbd8-Z7wG/Dw8ZucqijwBOkGbLEB7cgo%22	https://cdn.jsdelivr.net/gh/mcstudios/glightbox/dist/js/glightbox.min.js	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/cdn.jsdelivr.net/gh/mcstudios/glightbox/dist/js/glightbox.min.js	(from https://behzodesonov.uz/)
21:46:55	3195/3195	---M-Z	200	added ('OK')	text/css	etag:%22c7b-62986b29-261a05c09ac5c733;gz%22	https://behzodesonov.uz/css/base/base.css	C:/My%20Web%20Sites/Muhammadali%20Eshonqulov/behzodesonov.uz/css/base/base.css	(from https://behzodesonov.uz/css/tailwind.css)
